feature,coefficient
bürger direkt,0.8527885480698985
im gesetz,0.8511232483467364
öffentlicher personennahverkehr,0.848735836014949
in kraft,0.8483887341399621
government,0.8474999894823726
unter der,0.8473266470932271
flüchtlings und,0.8471376530887689
digitalpakt schule,0.8469953760650653
auftrag,0.8466298213992166
und migrationspolitik,0.8463400753478164
flüchtlings,0.8459602484344062
verteidigungspolitik,0.8457547407746082
direkt überwacht,0.8453508475820294
die kommission,0.8452000179821313
zukünftigen,0.8448125841965515
energiewende,0.8446837092345733
durchführung,0.8445449203814605
plenarsitzung vor,0.8442632519300808
historischen richtungsentscheidung,0.8442632519300808
richtungsentscheidung bezüglich,0.8442632519300808
grundlegende kehrtwende,0.8442632519300808
kehrtwende benötigen,0.8442632519300808
richtungsentscheidung,0.8427438871072791
einer historischen,0.8423656596193797
die verantwortung,0.8420615668804331
dient als,0.8416326920170977
genehmigungsbehörde in,0.8409257330655765
abs auf,0.8409257330655765
härtefällen kann,0.8409257330655765
die genehmigungsbehörde,0.8407976739615886
personennahverkehr,0.8407905257785201
befristete ausnahmen,0.8405278719450785
ausnahmen bezüglich,0.8403208734281473
genehmigungsbehörde,0.839892619878099
von härtefällen,0.8398569998382377
stehen heute,0.8397723434113478
härtefällen,0.8387599342823626
kehrtwende,0.8381342836256279
gesetzliche,0.835688649379751
kann nicht,0.8355577041161336
es kann,0.8349606076074801
namen von,0.8348869901602246
direkt geliefert,0.83154749869467
bundeswehr und,0.8309010463816348
erkenntnisse,0.8294407588912549
regelmäßig,0.8293366605021343
kommunale selbstverwaltung,0.829329924525849
wir feststellen,0.8278194856179913
weichen beim,0.8260213514762648
plenarsitzung ein,0.8260213514762648
08,0.8254958808015004
neu stellen,0.8254233545334265
gemeinwohls und,0.8253041449765247
senden und,0.8251419387549712
konkrete,0.8249155018565825
03,0.8247061267252587
befristete,0.8245461573170175
digitalpakt,0.8232326334587401
signal senden,0.8230440529196223
und bürger,0.8228951838031425
des gemeinwohls,0.8219111133415019
gesetzesänderung bezüglich,0.8218072821314484
stellungnahme in,0.8218072821314484
vorgeschlagenen gesetzesänderung,0.821567583843805
gemeinwohls,0.8213215527655678
regulierten arbeitsmarkt,0.8212776060755992
finanzierung,0.8203907569765865
sich kritisch,0.8201740262175716
uns in,0.8198957023027058
interesse von,0.8197561439408918
kritisch mit,0.8191495060378182
der vorgeschlagenen,0.8186981715189634
regulierten,0.8185351350561855
befasst sich,0.8164420971543981
02,0.816156918963658
verbessern,0.8151626537062782
öffentlicher,0.8149790675084542
den auswirkungen,0.8145305544305631
04,0.8143799400101683
06,0.8140633806216199
die stellungnahme,0.8128683663952313
01,0.8120238021700338
sind die,0.8119678719680871
auf antrag,0.8117657716134756
außenpolitik der,0.8115240693776105
antrag von,0.8113296496253164
09,0.8104926634433209
klares signal,0.8097527410709251
publikumsverkehrs,0.8066434910321411
reibungslosen ablaufs,0.8066434910321411
unterlagen unter,0.8066434910321411
publikumsverkehrs bezüglich,0.8066434910321411
ablaufs des,0.8066434910321411
ablaufs,0.8066434910321411
von az,0.8066434910321411
vorab einzureichen,0.8066434910321411
eines reibungslosen,0.8066434910321411
des publikumsverkehrs,0.8066434910321411
energien gesetz,0.806518455698862
gebeten die,0.8055289463760719
angabe von,0.8053055558601069
unter angabe,0.8044229374565633
gewährleistung eines,0.8036988625743645
reibungslosen,0.8036485218605469
die unterlagen,0.80315688188635
wird gebeten,0.8027771144122975
die weichen,0.8026194424737858
ausnahmen,0.8021314347240354
historischen,0.8019635307183229
migrationspolitik,0.8013558425598891
07,0.8012732451984034
projekten bezüglich,0.8006367480918284
staatlichen finanzhilfen,0.8006367480918284
gezeichnete antrag,0.8006367480918284
fristgerecht einzureichen,0.8006367480918284
gezeichnete,0.8000568022494343
finanzhilfen nach,0.8000543871666619
05,0.7990418720990495
zur vergabe,0.7990250896152289
vor einer,0.7988764975931463
zur gewährleistung,0.7976511757005139
fristgerecht,0.7961954001789597
senden,0.7954612350870767
experten,0.7952391472708668
angabe,0.7948926503909571
gesetzesänderung,0.7935148496124289
vergabe von,0.7923696686090822
auswirkungen der,0.7922002414668882
von projekten,0.7917628537050567
